policy_id,k8s_accept,k8s_total,k8s_rate,kyverno_accept,kyverno_total,kyverno_rate,polaris_cli_accept,polaris_cli_total,polaris_cli_rate,polaris_webhook_accept,polaris_webhook_total,polaris_webhook_rate,map_accept,map_total,map_rate,llmsec_accept,llmsec_total,llmsec_rate
drop_cap_sys_admin,2,3,0.6666666666666666,,,,,,,,,,1,3,0.3333333333333333,0,3,0.0
drop_capabilities,1,2,0.5,12,12,1.0,0,12,0.0,0,12,0.0,1,2,0.5,0,4,0.0
env_var_secret,,,,3,3,1.0,0,3,0.0,0,3,0.0,,,,,,
no_host_path,1,1,1.0,,,,,,,,,,0,1,0.0,0,1,0.0
no_host_ports,0,1,0.0,,,,,,,,,,0,1,0.0,0,1,0.0
no_latest_tag,1,2,0.5,25,25,1.0,0,25,0.0,0,25,0.0,1,2,0.5,0,2,0.0
no_privileged,1,3,0.3333333333333333,5,5,1.0,0,5,0.0,0,5,0.0,0,1,0.0,0,1,0.0
read_only_root_fs,2,3,0.6666666666666666,107,107,1.0,0,107,0.0,86,107,0.8037383177570093,1,3,0.3333333333333333,0,3,0.0
run_as_non_root,2,3,0.6666666666666666,63,63,1.0,0,63,0.0,37,63,0.5873015873015873,1,3,0.3333333333333333,0,3,0.0
set_requests_limits,4,6,0.6666666666666666,285,285,1.0,0,285,0.0,135,285,0.47368421052631576,1,3,0.3333333333333333,0,6,0.0
