dataset,source_artifact,total_records,rejected_records,policy_id,count
full_rules_historical,data/verified_rules_full.json.gz,13656,67,set_requests_limits,12
full_rules_historical,data/verified_rules_full.json.gz,13656,67,drop_capabilities,11
full_rules_historical,data/verified_rules_full.json.gz,13656,67,invalid_target_ports,8
full_rules_historical,data/verified_rules_full.json.gz,13656,67,no_latest_tag,6
full_rules_historical,data/verified_rules_full.json.gz,13656,67,job_ttl_after_finished,5
full_rules_historical,data/verified_rules_full.json.gz,13656,67,mismatching_selector,4
full_rules_historical,data/verified_rules_full.json.gz,13656,67,read_only_root_fs,4
full_rules_historical,data/verified_rules_full.json.gz,13656,67,no_privileged,3
full_rules_historical,data/verified_rules_full.json.gz,13656,67,deprecated_service_account_field,2
full_rules_historical,data/verified_rules_full.json.gz,13656,67,no_host_pid,2
full_rules_historical,data/verified_rules_full.json.gz,13656,67,liveness_port,2
full_rules_historical,data/verified_rules_full.json.gz,13656,67,non_existent_service_account,2
full_rules_historical,data/verified_rules_full.json.gz,13656,67,readiness_port,2
full_rules_historical,data/verified_rules_full.json.gz,13656,67,startup_port,2
full_rules_historical,data/verified_rules_full.json.gz,13656,67,no_host_ipc,1
full_rules_historical,data/verified_rules_full.json.gz,13656,67,no_host_network,1
supported_historical,data/verified_rules_supported.json,1278,19,drop_capabilities,7
supported_historical,data/verified_rules_supported.json,1278,19,set_requests_limits,4
supported_historical,data/verified_rules_supported.json,1278,19,no_host_path,2
supported_historical,data/verified_rules_supported.json,1278,19,read_only_root_fs,2
supported_historical,data/verified_rules_supported.json,1278,19,run_as_non_root,2
supported_historical,data/verified_rules_supported.json,1278,19,job_ttl_after_finished,1
supported_historical,data/verified_rules_supported.json,1278,19,no_host_network,1
