dataset,source_artifact,total_records,rejected_records,failure_category,rejected_records_with_category,error_events
full_rules_historical,data/verified_rules_full.json.gz,13656,67,can't remove a non-existent object 'clusterName',58,58
full_rules_historical,data/verified_rules_full.json.gz,13656,67,no containers found in manifest,4,4
full_rules_historical,data/verified_rules_full.json.gz,13656,67,member 'spec' not found in,3,3
full_rules_historical,data/verified_rules_full.json.gz,13656,67,can't replace a non-existent object 'generateName',1,1
full_rules_historical,data/verified_rules_full.json.gz,13656,67,member 'metadata' not found in,1,1
supported_historical,data/verified_rules_supported.json,1278,19,container image missing or empty,8,8
supported_historical,data/verified_rules_supported.json,1278,19,privileged container detected,6,6
supported_historical,data/verified_rules_supported.json,1278,19,capabilities.drop missing,6,6
supported_historical,data/verified_rules_supported.json,1278,19,capabilities not defined,5,9
supported_historical,data/verified_rules_supported.json,1278,19,"capabilities.add still contains NET_ADMIN, NET_RAW, SYS_ADMIN",4,4
supported_historical,data/verified_rules_supported.json,1278,19,capabilities.add still contains SYS_ADMIN,2,2
