Failure Cause,Count
"kubectl dry-run failed: error: error when retrieving current configuration of: Resource: ""batch/v1, ...",65
"kubectl dry-run failed: error: error when retrieving current configuration of: Resource: ""/v1, Resou...",20
"kubectl dry-run failed: The ReplicationController ""zulip-1"" is invalid:  * spec.template.spec.contai...",18
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": Deployment in v...",16
can't remove a non-existent object 'clusterName',16
"kubectl dry-run failed: The StatefulSet ""mysql"" is invalid:  * spec.template.spec.containers[0].volu...",14
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": ReplicaSet in v...",14
"kubectl dry-run failed: The Deployment ""testground-daemon"" is invalid: spec.template.spec.containers...",12
"kubectl dry-run failed: The CronJob ""tf-nightly-retinanet-func-v3-8"" is invalid: spec.jobTemplate.sp...",11
"kubectl dry-run failed: The CronJob ""tf-r2.4.0-keras-api-custom-layers-v2-32"" is invalid: spec.jobTe...",11
"kubectl dry-run failed: The CronJob ""tf-r2.3.2-bert-mnli-conv-v2-32"" is invalid: spec.jobTemplate.sp...",11
"kubectl dry-run failed: The CronJob ""tf-nightly-maskrcnn-func-v3-8"" is invalid: spec.jobTemplate.spe...",11
"kubectl dry-run failed: The CronJob ""pt-1.6-python-ops-func-v2-8"" is invalid:  * spec.jobTemplate.sp...",11
"kubectl dry-run failed: The CronJob ""tf-r2.4.0-classifier-efficientnet-func-v2-8"" is invalid: spec.j...",11
"kubectl dry-run failed: The CronJob ""tf-r2.3.1-transformer-translate-conv-v2-32"" is invalid: spec.jo...",11
"kubectl dry-run failed: The CronJob ""tf-nightly-keras-api-connection-v3-8"" is invalid: spec.jobTempl...",11
"kubectl dry-run failed: The StatefulSet ""release-name-worker"" is invalid:  * spec.template.spec.cont...",9
"kubectl dry-run failed: The StatefulSet ""release-name-triggerer"" is invalid:  * spec.template.spec.c...",9
"kubectl dry-run failed: The Deployment ""study-builder"" is invalid: spec.template.spec.containers[0]....",9
"kubectl dry-run failed: The StatefulSet ""postgresql-db"" is invalid:  * spec.template.spec.containers...",9
"kubectl dry-run failed: The StatefulSet ""minio"" is invalid: spec.template.spec.containers[0].volumeM...",9
"kubectl dry-run failed: The StatefulSet ""hadoop-namenode"" is invalid:  * spec.template.spec.containe...",8
"kubectl dry-run failed: The Deployment ""server"" is invalid:  * spec.template.spec.containers[0].reso...",8
"kubectl dry-run failed: Error from server (Forbidden): error when creating ""STDIN"": pods ""release-na...",8
"kubectl dry-run failed: The Deployment ""kurl-proxy-kotsadm"" is invalid:  * metadata.labels: Invalid ...",8
"kubectl dry-run failed: The StatefulSet ""nexus3"" is invalid:  * spec.template.spec.containers[0].vol...",8
"kubectl dry-run failed: The Pod ""capabilities\_baseline3"" is invalid: metadata.name: Invalid value: ...",8
"kubectl dry-run failed: The StatefulSet ""elasticsearch-master"" is invalid: spec.template.spec.contai...",7
"kubectl dry-run failed: The StatefulSet ""release-name-postgresql"" is invalid:  * spec.template.spec....",6
"kubectl dry-run failed: The StatefulSet ""release-name-harbor-database"" is invalid:  * spec.template....",6
"kubectl dry-run failed: The Deployment ""web"" is invalid: spec.template.spec.containers[0].resources....",6
"kubectl dry-run failed: The StatefulSet ""consul"" is invalid: spec.template.spec.containers[1].volume...",6
"kubectl dry-run failed: Error from server (Forbidden): error when creating ""STDIN"": pods ""nginx-priv...",6
"kubectl dry-run failed: The StatefulSet ""redis-master"" is invalid: spec.template.spec.containers[0]....",5
"kubectl dry-run failed: The Deployment ""motive-back-end-deployment"" is invalid: spec.template.spec.c...",5
"kubectl dry-run failed: The StatefulSet ""test-\$\{storageClass\}"" is invalid:  * metadata.name: Inva...",5
"kubectl dry-run failed: The Job ""process-item-\$ITEM"" is invalid:  * metadata.name: Invalid value: ""...",5
"kubectl dry-run failed: The Deployment ""controller-manager"" is invalid:  * spec.template.spec.affini...",5
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": DaemonSet in ve...",5
"kubectl dry-run failed: The Deployment ""serviceCenter"" is invalid:  * metadata.name: Invalid value: ...",5
"kubectl dry-run failed: The Deployment ""kubernetes-client"" is invalid:  * spec.template.labels: Inva...",5
"kubectl dry-run failed: The Job ""ca-certificates-(( random.String 5 \""[a-z]\"" ))"" is invalid:  * met...",4
"kubectl dry-run failed: Error from server (Forbidden): error when creating ""STDIN"": pods ""cockroachd...",4
"kubectl dry-run failed: The Deployment ""nginx"" is invalid: spec.template.metadata.labels: Invalid va...",4
"kubectl dry-run failed: The Deployment ""web-app"" is invalid: spec.template.metadata.labels: Invalid ...",4
"kubectl dry-run failed: The StatefulSet ""eventstore"" is invalid: spec.template.spec.containers[0].vo...",4
"kubectl dry-run failed: The Deployment ""openmcp-analytic-engine"" is invalid: spec.template.spec.cont...",4
"kubectl dry-run failed: The Pod ""dnstest3"" is invalid: spec.containers[0].resources.requests: Invali...",4
"kubectl dry-run failed: The Job ""demojob2-workerpool"" is invalid: spec.template.spec.containers[0].r...",4
"kubectl dry-run failed: The StatefulSet ""statefulset-blobfuse"" is invalid: spec.template.spec.contai...",4
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": Pod in version ...",4
"kubectl dry-run failed: The StatefulSet ""release-name-mariadb"" is invalid: spec.template.spec.contai...",4
"kubectl dry-run failed: The StatefulSet ""release-name-redis"" is invalid: spec.template.spec.containe...",4
"kubectl dry-run failed: The Pod ""component-nodejs-dependence-npm"" is invalid: spec.containers[0].res...",4
"kubectl dry-run failed: Error from server (Forbidden): error when creating ""STDIN"": pods ""dummy-name...",4
"kubectl dry-run failed: The StatefulSet ""orders-view-app"" is invalid: spec.template.spec.containers[...",4
"kubectl dry-run failed: The Deployment ""notification"" is invalid: spec.template.spec.containers[0].r...",4
"kubectl dry-run failed: The DaemonSet ""nvidiaheartbeat"" is invalid: spec.template.metadata.labels: I...",4
"kubectl dry-run failed: The Deployment ""notion-gtdls"" is invalid: spec.template.spec.containers[0].r...",3
"kubectl dry-run failed: The StatefulSet ""release-name-vault"" is invalid: spec.template.spec.containe...",3
"kubectl dry-run failed: The Deployment ""release-name-nfs-subdir-external-provisioner"" is invalid:  *...",3
"kubectl dry-run failed: The StatefulSet ""release-name-harbor-redis"" is invalid: spec.template.spec.c...",3
"kubectl dry-run failed: The CronJob ""my-cron-job"" is invalid:  * spec.jobTemplate.spec.template.spec...",3
