Failure Cause,Count
"kubectl dry-run failed: error: error when retrieving current configuration of: Resource: ""batch/v1, Resource=jobs"", GroupVersionKind: ""batch/v1, Kind=Job"" Name: """", Namespace: ""default"" from server for: ""STDIN"": resource name may not be empty",30
"kubectl dry-run failed: error: error when retrieving current configuration of: Resource: ""batch/v1, Resource=jobs"", GroupVersionKind: ""batch/v1, Kind=Job"" Name: """", Namespace: ""litmus"" from server for: ""STDIN"": resource name may not be empty",21
"kubectl dry-run failed: error: error when retrieving current configuration of: Resource: ""/v1, Resource=pods"", GroupVersionKind: ""/v1, Kind=Pod"" Name: """", Namespace: ""default"" from server for: ""STDIN"": resource name may not be empty",20
"kubectl dry-run failed: The ReplicationController ""zulip-1"" is invalid:  * spec.template.spec.containers[0].resources.requests: Invalid value: ""100m"": must be less than or equal to cpu limit of 50m * spec.template.spec.containers[1].resources.requests: Invalid value: ""100m"": must be less than or equal to cpu limit of 75m * spec.template.spec.containers[2].resources.requests: Invalid value: ""100m"": must be less than or equal to cpu limit of 75m * spec.template.spec.containers[3].resources.requests: Invalid value: ""100m"": must be less than or equal to cpu limit of 80m",18
can't remove a non-existent object 'clusterName',16
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": ReplicaSet in version ""v1"" cannot be handled as a ReplicaSet: strict decoding error: unknown field ""spec.template.spec.volumes[0].ephemeral.volumeClaimTemplate.metadata.clusterName""",14
"kubectl dry-run failed: The StatefulSet ""mysql"" is invalid:  * spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""data"" * spec.template.spec.containers[0].resources.requests: Invalid value: ""1Gi"": must be less than or equal to memory limit of 256Mi * spec.template.spec.containers[1].volumeMounts[0].name: Not found: ""data"" * spec.template.spec.initContainers[1].volumeMounts[0].name: Not found: ""data""",14
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": Deployment in version ""v1"" cannot be handled as a Deployment: strict decoding error: unknown field ""spec.template.spec.securityContext.allowPrivilegeEscalation""",12
"kubectl dry-run failed: The Deployment ""testground-daemon"" is invalid: spec.template.spec.containers[1].resources.requests: Invalid value: ""2"": must be less than or equal to cpu limit of 500m",12
"kubectl dry-run failed: The CronJob ""tf-r2.4.0-keras-api-custom-layers-v2-32"" is invalid: spec.jobTemplate.spec.template.spec.containers[1].resources.requests: Invalid value: ""20G"": must be less than or equal to memory limit of 256Mi",11
"kubectl dry-run failed: The CronJob ""tf-nightly-retinanet-func-v3-8"" is invalid: spec.jobTemplate.spec.template.spec.containers[1].resources.requests: Invalid value: ""20G"": must be less than or equal to memory limit of 256Mi",11
"kubectl dry-run failed: The CronJob ""tf-nightly-maskrcnn-func-v3-8"" is invalid: spec.jobTemplate.spec.template.spec.containers[1].resources.requests: Invalid value: ""20G"": must be less than or equal to memory limit of 256Mi",11
"kubectl dry-run failed: The CronJob ""pt-1.6-python-ops-func-v2-8"" is invalid:  * spec.jobTemplate.spec.template.spec.containers[1].resources.requests: Invalid value: ""4500m"": must be less than or equal to cpu limit of 500m * spec.jobTemplate.spec.template.spec.containers[1].resources.requests: Invalid value: ""8Gi"": must be less than or equal to memory limit of 256Mi",11
"kubectl dry-run failed: The CronJob ""tf-r2.3.2-bert-mnli-conv-v2-32"" is invalid: spec.jobTemplate.spec.template.spec.containers[1].resources.requests: Invalid value: ""20G"": must be less than or equal to memory limit of 256Mi",11
"kubectl dry-run failed: The CronJob ""tf-r2.4.0-classifier-efficientnet-func-v2-8"" is invalid: spec.jobTemplate.spec.template.spec.containers[1].resources.requests: Invalid value: ""20G"": must be less than or equal to memory limit of 256Mi",11
"kubectl dry-run failed: The CronJob ""tf-r2.3.1-transformer-translate-conv-v2-32"" is invalid: spec.jobTemplate.spec.template.spec.containers[1].resources.requests: Invalid value: ""20G"": must be less than or equal to memory limit of 256Mi",11
"kubectl dry-run failed: The CronJob ""tf-nightly-keras-api-connection-v3-8"" is invalid: spec.jobTemplate.spec.template.spec.containers[1].resources.requests: Invalid value: ""20G"": must be less than or equal to memory limit of 256Mi",11
"kubectl dry-run failed: The StatefulSet ""release-name-triggerer"" is invalid:  * spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""logs"" * spec.template.spec.containers[1].volumeMounts[0].name: Not found: ""logs""",9
"kubectl dry-run failed: The StatefulSet ""release-name-worker"" is invalid:  * spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""logs"" * spec.template.spec.containers[1].volumeMounts[0].name: Not found: ""logs""",9
"kubectl dry-run failed: The Deployment ""study-builder"" is invalid: spec.template.spec.containers[0].resources.requests: Invalid value: ""500Mi"": must be less than or equal to memory limit of 256Mi",9
"kubectl dry-run failed: The StatefulSet ""postgresql-db"" is invalid:  * spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""postgresql-db-disk"" * spec.template.spec.initContainers[0].volumeMounts[0].name: Not found: ""postgresql-db-disk""",9
"kubectl dry-run failed: The StatefulSet ""minio"" is invalid: spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""data""",9
"kubectl dry-run failed: Error from server (Forbidden): error when creating ""STDIN"": pods ""release-name-grafana-test"" is forbidden: error looking up service account default/release-name-grafana-test: serviceaccount ""release-name-grafana-test"" not found",8
"kubectl dry-run failed: The Deployment ""kurl-proxy-kotsadm"" is invalid:  * metadata.labels: Invalid value: ""\\\""true\\\"""": a valid label must be an empty string or consist of alphanumeric characters, '-', '\_' or '.', and must start and end with an alphanumeric character (e.g. 'MyValue',  or 'my\_value',  or '12345', regex used for validation is '(([A-Za-z0-9][-A-Za-z0-9\_.]*)?[A-Za-z0-9])?') * spec.template.labels: Invalid value: ""\\\""true\\\"""": a valid label must be an empty string or consist of alphanumeric characters, '-', '\_' or '.', and must start and end with an alphanumeric character (e.g. 'MyValue',  or 'my\_value',  or '12345', regex used for validation is '(([A-Za-z0-9][-A-Za-z0-9\_.]*)?[A-Za-z0-9])?')",8
"kubectl dry-run failed: The StatefulSet ""nexus3"" is invalid:  * spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""nexus-data"" * spec.template.spec.initContainers[0].volumeMounts[0].name: Not found: ""nexus-data""",8
"kubectl dry-run failed: error: error when retrieving current configuration of: Resource: ""batch/v1, Resource=jobs"", GroupVersionKind: ""batch/v1, Kind=Job"" Name: """", Namespace: ""image-model"" from server for: ""STDIN"": resource name may not be empty",8
"kubectl dry-run failed: The Deployment ""server"" is invalid:  * spec.template.spec.containers[0].resources.requests: Invalid value: ""8Gi"": must be less than or equal to memory limit of 256Mi * spec.template.spec.containers[1].resources.requests: Invalid value: ""8Gi"": must be less than or equal to memory limit of 256Mi",8
"kubectl dry-run failed: The StatefulSet ""hadoop-namenode"" is invalid:  * spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""hadoop-nn-volume"" * spec.template.spec.initContainers[0].volumeMounts[0].name: Not found: ""hadoop-nn-volume""",8
"kubectl dry-run failed: The Pod ""capabilities\_baseline3"" is invalid: metadata.name: Invalid value: ""capabilities\_baseline3"": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')",8
"kubectl dry-run failed: The StatefulSet ""elasticsearch-master"" is invalid: spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""elasticsearch-master""",7
"kubectl dry-run failed: The StatefulSet ""release-name-postgresql"" is invalid:  * spec.template.spec.containers[0].volumeMounts[1].name: Not found: ""data"" * spec.template.spec.initContainers[0].volumeMounts[0].name: Not found: ""data""",6
"kubectl dry-run failed: The StatefulSet ""release-name-harbor-database"" is invalid:  * spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""database-data"" * spec.template.spec.initContainers[0].volumeMounts[0].name: Not found: ""database-data""",6
"kubectl dry-run failed: The StatefulSet ""consul"" is invalid: spec.template.spec.containers[1].volumeMounts[0].name: Not found: ""data""",6
"kubectl dry-run failed: Error from server (Forbidden): error when creating ""STDIN"": pods ""nginx-privileged"" is forbidden: error looking up service account default/fake-user: serviceaccount ""fake-user"" not found",6
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": DaemonSet in version ""v1"" cannot be handled as a DaemonSet: strict decoding error: unknown field ""spec.template.spec.securityContext.allowPrivilegeEscalation""",5
"kubectl dry-run failed: The StatefulSet ""redis-master"" is invalid: spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""redis-master-volume""",5
"kubectl dry-run failed: The Deployment ""kubernetes-client"" is invalid:  * spec.template.labels: Invalid value: ""<ACUMOS\_SERVICE\_LABEL\_KEY>"": name part must consist of alphanumeric characters, '-', '\_' or '.', and must start and end with an alphanumeric character (e.g. 'MyName',  or 'my.name',  or '123-abc', regex used for validation is '([A-Za-z0-9][-A-Za-z0-9\_.]*)?[A-Za-z0-9]') * spec.template.labels: Invalid value: ""<ACUMOS\_KUBERNETES\_CLIENT\_SERVICE\_LABEL>"": a valid label must be an empty string or consist of alphanumeric characters, '-', '\_' or '.', and must start and end with an alphanumeric character (e.g. 'MyValue',  or 'my\_value',  or '12345', regex used for validation is '(([A-Za-z0-9][-A-Za-z0-9\_.]*)?[A-Za-z0-9])?') * spec.template.spec.affinity.podAntiAffinity.requiredDuringSchedulingIgnoredDuringExecution[0].labelSelector.matchExpressions[0].key: Invalid value: ""<ACUMOS\_SERVICE\_LABEL\_KEY>"": name part must consist of alphanumeric characters, '-', '\_' or '.', and must start and end with an alphanumeric character (e.g. 'MyName',  or 'my.name',  or '123-abc', regex used for validation is '([A-Za-z0-9][-A-Za-z0-9\_.]*)?[A-Za-z0-9]') * spec.template.spec.affinity.podAntiAffinity.requiredDuringSchedulingIgnoredDuringExecution[0].labelSelector.matchExpressions[0].values[0]: Invalid value: ""<ACUMOS\_KUBERNETES\_CLIENT\_SERVICE\_LABEL>"": a valid label must be an empty string or consist of alphanumeric characters, '-', '\_' or '.', and must start and end with an alphanumeric character (e.g. 'MyValue',  or 'my\_value',  or '12345', regex used for validation is '(([A-Za-z0-9][-A-Za-z0-9\_.]*)?[A-Za-z0-9])?')",5
"kubectl dry-run failed: The StatefulSet ""test-\$\{storageClass\}"" is invalid:  * metadata.name: Invalid value: ""test-\$\{storageClass\}"": a lowercase RFC 1123 label must consist of lower case alphanumeric characters or '-', and must start and end with an alphanumeric character (e.g. 'my-name',  or '123-abc', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?') * spec.selector.matchLabels: Invalid value: ""test-\$\{storageClass\}"": a valid label must be an empty string or consist of alphanumeric characters, '-', '\_' or '.', and must start and end with an alphanumeric character (e.g. 'MyValue',  or 'my\_value',  or '12345', regex used for validation is '(([A-Za-z0-9][-A-Za-z0-9\_.]*)?[A-Za-z0-9])?') * spec.selector: Invalid value: \{""matchLabels"":\{""app"":""test-\$\{storageClass\}""\}\}",5
