policy_id,risk,probability,expected_time,kev,detections,resolved,residual,resolution_rate
dangling_service,40.0,0.9236,10.0,0,157,157,0,1.0
deprecated_service_account_field,40.0,1.0,10.0,0,1,1,0,1.0
drop_capabilities,85.0,1.0,10.0,1,84,74,10,0.881
job_ttl_after_finished,40.0,1.0,10.0,0,15,14,1,0.9333
no_anti_affinity,40.0,1.0,10.0,0,14,14,0,1.0
no_host_ipc,40.0,1.0,10.0,0,1,1,0,1.0
no_host_network,40.0,0.0,10.0,0,7,6,1,0.8571
no_host_pid,40.0,0.0,10.0,0,2,2,0,1.0
no_latest_tag,50.0,0.9844,10.0,0,573,550,23,0.9599
no_privileged,85.0,1.0,10.0,1,54,53,1,0.9815
non_existent_service_account,40.0,0.992,10.0,0,125,125,0,1.0
pdb_unhealthy_eviction_policy,40.0,1.0,10.0,0,26,26,0,1.0
read_only_root_fs,40.0,0.9701,10.0,0,1403,1326,77,0.9451
run_as_non_root,70.0,0.961,10.0,0,1265,1191,74,0.9415
set_requests_limits,40.0,0.9731,10.0,0,2483,2343,140,0.9436
unsafe_sysctls,40.0,1.0,10.0,0,25,25,0,1.0
