Running Grok benchmark across 5k detections
[skip] proposer batch 000 -> data/batch_runs/grok_5k/patches_grok5k_batch_000.json
[skip] verifier batch 000 -> data/batch_runs/grok_5k/verified_grok5k_batch_000.json
[skip] proposer batch 001 -> data/batch_runs/grok_5k/patches_grok5k_batch_001.json
[skip] verifier batch 001 -> data/batch_runs/grok_5k/verified_grok5k_batch_001.json
[skip] proposer batch 002 -> data/batch_runs/grok_5k/patches_grok5k_batch_002.json
[skip] verifier batch 002 -> data/batch_runs/grok_5k/verified_grok5k_batch_002.json
[skip] proposer batch 003 -> data/batch_runs/grok_5k/patches_grok5k_batch_003.json
[skip] verifier batch 003 -> data/batch_runs/grok_5k/verified_grok5k_batch_003.json
[skip] proposer batch 004 -> data/batch_runs/grok_5k/patches_grok5k_batch_004.json
[skip] verifier batch 004 -> data/batch_runs/grok_5k/verified_grok5k_batch_004.json
[skip] proposer batch 005 -> data/batch_runs/grok_5k/patches_grok5k_batch_005.json
[skip] verifier batch 005 -> data/batch_runs/grok_5k/verified_grok5k_batch_005.json
[skip] proposer batch 006 -> data/batch_runs/grok_5k/patches_grok5k_batch_006.json
[skip] verifier batch 006 -> data/batch_runs/grok_5k/verified_grok5k_batch_006.json
[skip] proposer batch 007 -> data/batch_runs/grok_5k/patches_grok5k_batch_007.json
[skip] verifier batch 007 -> data/batch_runs/grok_5k/verified_grok5k_batch_007.json
[skip] proposer batch 008 -> data/batch_runs/grok_5k/patches_grok5k_batch_008.json
[skip] verifier batch 008 -> data/batch_runs/grok_5k/verified_grok5k_batch_008.json
[skip] proposer batch 009 -> data/batch_runs/grok_5k/patches_grok5k_batch_009.json
[skip] verifier batch 009 -> data/batch_runs/grok_5k/verified_grok5k_batch_009.json
[skip] proposer batch 010 -> data/batch_runs/grok_5k/patches_grok5k_batch_010.json
[skip] verifier batch 010 -> data/batch_runs/grok_5k/verified_grok5k_batch_010.json
[skip] proposer batch 011 -> data/batch_runs/grok_5k/patches_grok5k_batch_011.json
[skip] verifier batch 011 -> data/batch_runs/grok_5k/verified_grok5k_batch_011.json
[skip] proposer batch 012 -> data/batch_runs/grok_5k/patches_grok5k_batch_012.json
[skip] verifier batch 012 -> data/batch_runs/grok_5k/verified_grok5k_batch_012.json
[skip] proposer batch 013 -> data/batch_runs/grok_5k/patches_grok5k_batch_013.json
[skip] verifier batch 013 -> data/batch_runs/grok_5k/verified_grok5k_batch_013.json
[skip] proposer batch 014 -> data/batch_runs/grok_5k/patches_grok5k_batch_014.json
[skip] verifier batch 014 -> data/batch_runs/grok_5k/verified_grok5k_batch_014.json
[skip] proposer batch 015 -> data/batch_runs/grok_5k/patches_grok5k_batch_015.json
[skip] verifier batch 015 -> data/batch_runs/grok_5k/verified_grok5k_batch_015.json
[skip] proposer batch 016 -> data/batch_runs/grok_5k/patches_grok5k_batch_016.json
[skip] verifier batch 016 -> data/batch_runs/grok_5k/verified_grok5k_batch_016.json
[skip] proposer batch 017 -> data/batch_runs/grok_5k/patches_grok5k_batch_017.json
[skip] verifier batch 017 -> data/batch_runs/grok_5k/verified_grok5k_batch_017.json
[skip] proposer batch 018 -> data/batch_runs/grok_5k/patches_grok5k_batch_018.json
[skip] verifier batch 018 -> data/batch_runs/grok_5k/verified_grok5k_batch_018.json
[skip] proposer batch 019 -> data/batch_runs/grok_5k/patches_grok5k_batch_019.json
[skip] verifier batch 019 -> data/batch_runs/grok_5k/verified_grok5k_batch_019.json
[skip] proposer batch 020 -> data/batch_runs/grok_5k/patches_grok5k_batch_020.json
[skip] verifier batch 020 -> data/batch_runs/grok_5k/verified_grok5k_batch_020.json
[skip] proposer batch 021 -> data/batch_runs/grok_5k/patches_grok5k_batch_021.json
[skip] verifier batch 021 -> data/batch_runs/grok_5k/verified_grok5k_batch_021.json
[skip] proposer batch 022 -> data/batch_runs/grok_5k/patches_grok5k_batch_022.json
[skip] verifier batch 022 -> data/batch_runs/grok_5k/verified_grok5k_batch_022.json
[skip] proposer batch 023 -> data/batch_runs/grok_5k/patches_grok5k_batch_023.json
[skip] verifier batch 023 -> data/batch_runs/grok_5k/verified_grok5k_batch_023.json
[skip] proposer batch 024 -> data/batch_runs/grok_5k/patches_grok5k_batch_024.json
[skip] verifier batch 024 -> data/batch_runs/grok_5k/verified_grok5k_batch_024.json
[skip] proposer batch 025 -> data/batch_runs/grok_5k/patches_grok5k_batch_025.json
[skip] verifier batch 025 -> data/batch_runs/grok_5k/verified_grok5k_batch_025.json
[skip] proposer batch 026 -> data/batch_runs/grok_5k/patches_grok5k_batch_026.json
[skip] verifier batch 026 -> data/batch_runs/grok_5k/verified_grok5k_batch_026.json
[skip] proposer batch 027 -> data/batch_runs/grok_5k/patches_grok5k_batch_027.json
[skip] verifier batch 027 -> data/batch_runs/grok_5k/verified_grok5k_batch_027.json
[skip] proposer batch 028 -> data/batch_runs/grok_5k/patches_grok5k_batch_028.json
[skip] verifier batch 028 -> data/batch_runs/grok_5k/verified_grok5k_batch_028.json
[skip] proposer batch 029 -> data/batch_runs/grok_5k/patches_grok5k_batch_029.json
[skip] verifier batch 029 -> data/batch_runs/grok_5k/verified_grok5k_batch_029.json
[skip] proposer batch 030 -> data/batch_runs/grok_5k/patches_grok5k_batch_030.json
[skip] verifier batch 030 -> data/batch_runs/grok_5k/verified_grok5k_batch_030.json
[skip] proposer batch 031 -> data/batch_runs/grok_5k/patches_grok5k_batch_031.json
[skip] verifier batch 031 -> data/batch_runs/grok_5k/verified_grok5k_batch_031.json
[skip] proposer batch 032 -> data/batch_runs/grok_5k/patches_grok5k_batch_032.json
[skip] verifier batch 032 -> data/batch_runs/grok_5k/verified_grok5k_batch_032.json
[skip] proposer batch 033 -> data/batch_runs/grok_5k/patches_grok5k_batch_033.json
[skip] verifier batch 033 -> data/batch_runs/grok_5k/verified_grok5k_batch_033.json
[skip] proposer batch 034 -> data/batch_runs/grok_5k/patches_grok5k_batch_034.json
[skip] verifier batch 034 -> data/batch_runs/grok_5k/verified_grok5k_batch_034.json
[skip] proposer batch 035 -> data/batch_runs/grok_5k/patches_grok5k_batch_035.json
[skip] verifier batch 035 -> data/batch_runs/grok_5k/verified_grok5k_batch_035.json
[skip] proposer batch 036 -> data/batch_runs/grok_5k/patches_grok5k_batch_036.json
[skip] verifier batch 036 -> data/batch_runs/grok_5k/verified_grok5k_batch_036.json
[skip] proposer batch 037 -> data/batch_runs/grok_5k/patches_grok5k_batch_037.json
[skip] verifier batch 037 -> data/batch_runs/grok_5k/verified_grok5k_batch_037.json
[skip] proposer batch 038 -> data/batch_runs/grok_5k/patches_grok5k_batch_038.json
[skip] verifier batch 038 -> data/batch_runs/grok_5k/verified_grok5k_batch_038.json
[skip] proposer batch 039 -> data/batch_runs/grok_5k/patches_grok5k_batch_039.json
[skip] verifier batch 039 -> data/batch_runs/grok_5k/verified_grok5k_batch_039.json
[skip] proposer batch 040 -> data/batch_runs/grok_5k/patches_grok5k_batch_040.json
[skip] verifier batch 040 -> data/batch_runs/grok_5k/verified_grok5k_batch_040.json
[skip] proposer batch 041 -> data/batch_runs/grok_5k/patches_grok5k_batch_041.json
[skip] verifier batch 041 -> data/batch_runs/grok_5k/verified_grok5k_batch_041.json
[skip] proposer batch 042 -> data/batch_runs/grok_5k/patches_grok5k_batch_042.json
[skip] verifier batch 042 -> data/batch_runs/grok_5k/verified_grok5k_batch_042.json
[skip] proposer batch 043 -> data/batch_runs/grok_5k/patches_grok5k_batch_043.json
[skip] verifier batch 043 -> data/batch_runs/grok_5k/verified_grok5k_batch_043.json
[skip] proposer batch 044 -> data/batch_runs/grok_5k/patches_grok5k_batch_044.json
[skip] verifier batch 044 -> data/batch_runs/grok_5k/verified_grok5k_batch_044.json
[skip] proposer batch 045 -> data/batch_runs/grok_5k/patches_grok5k_batch_045.json
[skip] verifier batch 045 -> data/batch_runs/grok_5k/verified_grok5k_batch_045.json
